id,title,description,condition,link,image_link,price,availability,brand
90,Emergency Trolley / Crash Cart,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/crash-cart.jpg,58000 KES,in_stock,EquinoxHealthSupplies
91,Theatre Light,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/theatre-light.jpg,350000 KES,in_stock,EquinoxHealthSupplies
92,Examination Lamp,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/examination-lamp.jpg,12500 KES,in_stock,EquinoxHealthSupplies
93,Urine Bottle,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/urine-bottle.jpg,1200 KES,in_stock,EquinoxHealthSupplies
94,Bed Pad,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/bed-pad.jpg,2200 KES,in_stock,EquinoxHealthSupplies
95,Reusable Patient Gown,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/patient-gown.jpg,1600 KES,in_stock,EquinoxHealthSupplies
96,Manual Height & Weight Weighing Scale,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/weighing-scale.jpg,9000 KES,in_stock,EquinoxHealthSupplies
97,4-Channel TENS Machine,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/tens-machine.jpg,7500 KES,in_stock,EquinoxHealthSupplies
98,18L Autoclave,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/autoclave.jpg,18500 KES,in_stock,EquinoxHealthSupplies
99,2 Channel Autoclave,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/2-channel-autoclave.jpg,8500 KES,in_stock,EquinoxHealthSupplies
100,Foot Massager,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/foot-massager.jpg,2200 KES,in_stock,EquinoxHealthSupplies
101,Massage Gun,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/massage-gun.jpg,2800 KES,in_stock,EquinoxHealthSupplies
102,Rehabilitation Hand Robot Glove,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/hand-glove.jpg,35000 KES,in_stock,EquinoxHealthSupplies
103,Spacer Mask,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/spacer-mask.jpg,1700 KES,in_stock,EquinoxHealthSupplies
104,Reusable Colostomy Bag,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/colostomy-bag.jpg,500 KES,in_stock,EquinoxHealthSupplies
105,Gastrostomy Tube (Size 24, 26, 28),"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/gastrostomy-tube.jpg,0 KES,in_stock,EquinoxHealthSupplies
107,Disposable Syringe,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/disposable-syringe.jpg,400 KES,in_stock,EquinoxHealthSupplies
108,Heavy Duty Nitrile Gloves,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/nitrile-gloves.jpg,450 KES,in_stock,EquinoxHealthSupplies
